DATE,AQI_BEIJING
15/08/2020,47.25
16/08/2020,54.16666667
17/08/2020,65.45833333
18/08/2020,47.45833333
19/08/2020,23.41666667
20/08/2020,31.79166667
21/08/2020,45.33333333
22/08/2020,57.625
23/08/2020,77.95833333
24/08/2020,30.83333333
25/08/2020,47.20833333
26/08/2020,87.33333333
27/08/2020,68.70833333
28/08/2020,42.08333333
29/08/2020,68.45833333
30/08/2020,72.95833333
31/08/2020,29.125
01/09/2020,29
02/09/2020,27.25
03/09/2020,20.375
04/09/2020,36.45833333
05/09/2020,55.20833333
06/09/2020,90.58333333
07/09/2020,32.75
08/09/2020,22
09/09/2020,26.375
10/09/2020,21
11/09/2020,15.95833333
12/09/2020,21.875
13/09/2020,39.91666667
14/09/2020,59.83333333
15/09/2020,50.375
16/09/2020,16.875
17/09/2020,21.70833333
18/09/2020,28.625
19/09/2020,36.04166667
20/09/2020,32.16666667
21/09/2020,59.25
22/09/2020,41.625
23/09/2020,48.58333333
24/09/2020,43.95833333
25/09/2020,51.375
26/09/2020,74.41666667
27/09/2020,90.9
28/09/2020,109.0416667
29/09/2020,20.91666667
30/09/2020,29.29166667
01/10/2020,62.5
02/10/2020,22.41666667
03/10/2020,40.41666667
04/10/2020,21.17391304
05/10/2020,22.47826087
06/10/2020,46.29166667
07/10/2020,84.125
08/10/2020,114.125
09/10/2020,145.25
10/10/2020,185.1666667
11/10/2020,66.95652174
12/10/2020,28.125
13/10/2020,37.54166667
14/10/2020,33.95652174
15/10/2020,76.66666667
16/10/2020,35.375
17/10/2020,44.04166667
18/10/2020,56.73913043
19/10/2020,72.04166667
20/10/2020,152.9166667
21/10/2020,115.0454545
22/10/2020,49.875
23/10/2020,32.0625
24/10/2020,56.25
25/10/2020,109
26/10/2020,116.9583333
27/10/2020,48.25
28/10/2020,46.95652174
29/10/2020,63.08333333
30/10/2020,71.91666667
31/10/2020,159.1666667
01/11/2020,56.39130435
02/11/2020,42.54166667
03/11/2020,33.33333333
04/11/2020,66
05/11/2020,115.25
06/11/2020,114.4583333
07/11/2020,92.33333333
08/11/2020,38.13043478
09/11/2020,48.875
10/11/2020,64.16666667
11/11/2020,144.9090909
12/11/2020,127.5
13/11/2020,46.20833333
14/11/2020,70.33333333
15/11/2020,106.8333333
16/11/2020,135.1666667
17/11/2020,137.4583333
18/11/2020,64.54166667
19/11/2020,15.66666667
20/11/2020,22.29166667
21/11/2020,42.33333333
22/11/2020,16.33333333
23/11/2020,12.28571429
24/11/2020,50.55555556
25/11/2020,42.08695652
26/11/2020,38.29166667
27/11/2020,30.08333333
28/11/2020,25.54166667
29/11/2020,34.04347826
30/11/2020,31.75
01/12/2020,40.625
02/12/2020,35.75
03/12/2020,20.875
04/12/2020,20.45833333
05/12/2020,36.04166667
06/12/2020,55.56521739
07/12/2020,26.875
08/12/2020,36.95833333
09/12/2020,68.70833333
10/12/2020,78.65217391
11/12/2020,52.66666667
12/12/2020,99.54166667
13/12/2020,28
14/12/2020,26.30434783
15/12/2020,35.7
16/12/2020,36.94117647
17/12/2020,62.13043478
18/12/2020,27.375
19/12/2020,45.83333333
20/12/2020,40.16666667
21/12/2020,54.5
22/12/2020,73.08333333
23/12/2020,94.91666667
24/12/2020,54.5
25/12/2020,66.83333333
26/12/2020,75.33333333
27/12/2020,85.54166667
28/12/2020,88.04166667
29/12/2020,50.86363636
30/12/2020,31.5
31/12/2020,34.70833333
01/01/2021,57.6
02/01/2021,66.375
03/01/2021,32.26086957
04/01/2021,37.16666667
05/01/2021,29.875
06/01/2021,61.875
07/01/2021,27.2173913
08/01/2021,28.95833333
09/01/2021,36.60869565
10/01/2021,25.29166667
11/01/2021,54.75
12/01/2021,97
13/01/2021,143.375
14/01/2021,83.29166667
15/01/2021,99.375
16/01/2021,30.29166667
17/01/2021,50.54166667
18/01/2021,60.75
19/01/2021,45.70833333
20/01/2021,71.47826087
21/01/2021,103.5833333
22/01/2021,113.2916667
23/01/2021,114.8333333
24/01/2021,137.25
25/01/2021,174.7916667
26/01/2021,110.5416667
27/01/2021,54.54166667
28/01/2021,44.83333333
29/01/2021,49.39130435
30/01/2021,68.29166667
31/01/2021,87.04166667
01/02/2021,48.75
02/02/2021,36.41666667
03/02/2021,47.75
04/02/2021,54.41666667
05/02/2021,65.33333333
06/02/2021,81.70833333
07/02/2021,46.16666667
08/02/2021,43.75
09/02/2021,84.75
10/02/2021,100.25
11/02/2021,203.9583333
12/02/2021,250
13/02/2021,255
14/02/2021,141.2916667
15/02/2021,33.54166667
16/02/2021,32.58333333
17/02/2021,22.58333333
18/02/2021,35.29166667
19/02/2021,64.95652174
20/02/2021,70.625
21/02/2021,118.9583333
22/02/2021,55.75
23/02/2021,47.375
24/02/2021,60.83333333
25/02/2021,104.6666667
26/02/2021,169.7083333
27/02/2021,162.2083333
28/02/2021,128.75
01/03/2021,30.91666667
02/03/2021,79.875
03/03/2021,148.0416667
04/03/2021,199.1666667
05/03/2021,156
06/03/2021,48.75
07/03/2021,77.25
08/03/2021,115.7916667
09/03/2021,184.6666667
10/03/2021,243.75
11/03/2021,164.5833333
12/03/2021,135.9166667
13/03/2021,134.75
14/03/2021,171.75
15/03/2021,363.2083333
16/03/2021,115.5833333
17/03/2021,186.8333333
18/03/2021,97.375
19/03/2021,97.83333333
20/03/2021,83.04166667
21/03/2021,32.125
22/03/2021,129.1666667
23/03/2021,87.375
24/03/2021,106.5833333
